CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN
01,Aguascalientes,001,Aguascalientes
02,Baja California,001,Ensenada
03,Baja California Sur,001,Comondú
04,Campeche,001,Calkiní
05,Coahuila de Zaragoza,001,Abasolo
06,Colima,001,Armería
07,Chiapas,001,Acacoyagua
08,Chihuahua,001,Ahumada
10,Durango,001,Canatlán
11,Guanajuato,001,Abasolo
12,Guerrero,001,Acapulco de Juárez
13,Hidalgo,001,Acatlán
14,Jalisco,001,Acatic
15,México,001,Acambay de Ruíz Castañeda
16,Michoacán de Ocampo,001,Acuitzio
17,Morelos,001,Amacuzac
18,Nayarit,001,Acaponeta
19,Nuevo León,001,Abasolo
20,Oaxaca,001,Abejones
21,Puebla,001,Acajete
22,Querétaro,001,Amealco de Bonfil
23,Quintana Roo,001,Cozumel
24,San Luis Potosí,001,Ahualulco
25,Sinaloa,001,Ahome
26,Sonora,001,Aconchi
27,Tabasco,001,Balancán
28,Tamaulipas,001,Abasolo
29,Tlaxcala,001,Amaxac de Guerrero
30,Veracruz de Ignacio de la Llave,001,Acajete
31,Yucatán,001,Abalá
32,Zacatecas,001,Apozol
01,Aguascalientes,002,Asientos
02,Baja California,002,Mexicali
03,Baja California Sur,002,Mulegé
04,Campeche,002,Campeche
05,Coahuila de Zaragoza,002,Acuña
06,Colima,002,Colima
07,Chiapas,002,Acala
08,Chihuahua,002,Aldama
09,Distrito Federal,002,Azcapotzalco
10,Durango,002,Canelas
11,Guanajuato,002,Acámbaro
12,Guerrero,002,Ahuacuotzingo
13,Hidalgo,002,Acaxochitlán
14,Jalisco,002,Acatlán de Juárez
15,México,002,Acolman
16,Michoacán de Ocampo,002,Aguililla
17,Morelos,002,Atlatlahucan
18,Nayarit,002,Ahuacatlán
19,Nuevo León,002,Agualeguas
20,Oaxaca,002,Acatlán de Pérez Figueroa
21,Puebla,002,Acateno
22,Querétaro,002,Pinal de Amoles
23,Quintana Roo,002,Felipe Carrillo Puerto
24,San Luis Potosí,002,Alaquines
25,Sinaloa,002,Angostura
26,Sonora,002,Agua Prieta
27,Tabasco,002,Cárdenas
28,Tamaulipas,002,Aldama
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal
30,Veracruz de Ignacio de la Llave,002,Acatlán
31,Yucatán,002,Acanceh
32,Zacatecas,002,Apulco
01,Aguascalientes,003,Calvillo
02,Baja California,003,Tecate
03,Baja California Sur,003,La Paz
04,Campeche,003,Carmen
05,Coahuila de Zaragoza,003,Allende
06,Colima,003,Comala
07,Chiapas,003,Acapetahua
08,Chihuahua,003,Allende
09,Distrito Federal,003,Coyoacán
10,Durango,003,Coneto de Comonfort
11,Guanajuato,003,San Miguel de Allende
12,Guerrero,003,Ajuchitlán del Progreso
13,Hidalgo,003,Actopan
14,Jalisco,003,Ahualulco de Mercado
15,México,003,Aculco
16,Michoacán de Ocampo,003,Álvaro Obregón
