"Category","Hombre","Mujer","Indeterminado"
"AGUASCALIENTES",1089,1698,2
"BAJA CALIFORNIA",1967,1900,5
"BAJA CALIFORNIA SUR",476,140,3
"CAMPECHE",239,500,0
"COAHUILA",2668,930,2
"COLIMA",1852,1609,1
"CHIAPAS",1096,1798,0
"CHIHUAHUA",7570,3434,4
"CIUDAD DE MEXICO",4640,4040,163
"DURANGO",915,587,0
"GUANAJUATO",7000,7688,228
"GUERRERO",3438,1336,8
"HIDALGO",1040,1453,4
"JALISCO",13691,3775,15
"ESTADO DE MEXICO",14248,17596,16
"MICHOACAN ",3077,1489,7
"MORELOS",1254,1381,1
"NAYARIT",746,139,1
"NUEVO LEON",4775,2825,1
"OAXACA",1325,2003,8
"PUEBLA",3685,4391,5
"QUERETARO ",932,981,1
"QUINTANA ROO",804,1152,0
"SAN LUIS POTOSI",448,356,1
"SINALOA",7447,2381,4
"SONORA",2302,1531,6
"TABASCO",286,482,1
"TAMAULIPAS",11297,5207,19
"TLAXCALA",106,106,1
"VERACRUZ ",4291,1772,17
"YUCATAN",2500,4032,1
"ZACATECAS",1280,528,0
"SE DESCONOCE",600,285,74
