"Category","Hombre","Mujer","Indeterminado"
"CUERNAVACA",112,104,0
"TEMIXCO",42,31,0
"CUAUTLA",37,9,0
"XOCHITEPEC",30,14,0
"JIUTEPEC",26,25,0
"SIN MUNICIPIO DE REFERENCIA",25,2,0
"EMILIANO ZAPATA",25,16,0
"YAUTEPEC",19,12,0
"TEPOZTLÁN",15,5,0
"PUENTE DE IXTLA",11,2,0
"YECAPIXTLA",10,3,0
"AYALA",10,4,0
"SE DESCONOCE",7,3,1
"JOJUTLA",7,2,0
"HUITZILAC",7,1,0
"AMACUZAC",6,3,0
"TLAQUILTENANGO",4,2,0
"MIACATLÁN",3,1,0
"ZACATEPEC DE HIDALGO",3,5,0
"TLALTIZAPÁN",3,4,0
"TETECALA",2,0,0
"JANTETELCO",2,1,0
"TLALNEPANTLA",2,0,0
"TLAYACAPAN",1,4,0
"ZACUALPAN DE AMILPAS",1,1,0
"AXOCHIAPAN",1,1,0
"ATLATLAHUCAN",1,0,0
"OCUITUCO",1,0,0
"COATLÁN DEL RÍO",0,4,0
