"Category","Hombre","Mujer","Indeterminado"
"CUERNAVACA",276,425,0
"JIUTEPEC",135,207,0
"TEMIXCO",100,113,0
"CUAUTLA",41,48,0
"EMILIANO ZAPATA",36,63,0
"XOCHITEPEC",35,82,0
"YAUTEPEC",30,42,0
"TEPOZTLÁN",19,38,0
"JOJUTLA",15,14,0
"AYALA",10,6,0
"HUITZILAC",9,14,0
"ATLATLAHUCAN",8,4,0
"TLALTIZAPÁN",6,7,0
"ZACATEPEC DE HIDALGO",5,3,0
"PUENTE DE IXTLA",5,3,0
"MIACATLÁN",5,5,0
"TLAQUILTENANGO",3,1,0
"SIN MUNICIPIO DE REFERENCIA",3,4,0
"AMACUZAC",3,5,0
"MAZATEPEC",3,2,0
"TEPALCINGO",2,0,0
"TLAYACAPAN",2,6,0
"TETECALA",2,4,0
"SE DESCONOCE",2,0,0
"COATLÁN DEL RÍO",1,0,0
"AXOCHIAPAN",1,2,0
"YECAPIXTLA",0,4,0
"OCUITUCO",0,2,0
"JONACATEPEC",0,2,0
